키워드를 추가 할 광고그룹ID 와 신규 키워드를 입력하세요.,,,,
광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있습니다. 입찰가는 쉼표나 '원' 표시를 제외한 숫자만 입력해 주세요.,,,,
입력은 최대 만(10000)개까지 가능합니다. (광고그룹 당 키워드는 1000개까지 등록가능합니다),,,,
그룹의 웹사이트URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고 PC/모바일 웹사이트를 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,
광고그룹ID(필수),키워드(필수),PC URL(선택),모바일 URL(선택),"키워드입찰가(선택,숫자만)"
grp-a001-01-000000072767776,광운대면접,https://hyunhak.com/guidebook/kwangwoon.html,https://hyunhak.com/guidebook/kwangwoon.html,700
grp-a001-01-000000072767785,경기대면접,https://hyunhak.com/guidebook/kyonggi.html,https://hyunhak.com/guidebook/kyonggi.html,700
grp-a001-01-000000072767862,명지대교과면접,https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,500
grp-a001-01-000000072767862,명지대면접,https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,700
grp-a001-01-000000072767862,명지대학교면접,https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,500
grp-a001-01-000000072767885,부산대면접,https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,700
grp-a001-01-000000072767885,부산대입면접학원,https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,700
grp-a001-01-000000072767885,부산대학면접학원,https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,700
grp-a001-01-000000072767885,부산대입면접,https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,700
grp-a001-01-000000072767885,부산대의대면접,https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,500
grp-a001-01-000000072767885,부산대면접학원,https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,500
grp-a001-01-000000072767890,삼육대면접,https://hyunhak.com/guidebook/sahmyook.html,https://hyunhak.com/guidebook/sahmyook.html,500
grp-a001-01-000000072767895,세종대면접,https://hyunhak.com/guidebook/sejong.html,https://hyunhak.com/guidebook/sejong.html,500
grp-a001-01-000000072767911,서울과기대면접,https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,500
grp-a001-01-000000072767911,과기대면접,https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,500
grp-a001-01-000000072767915,서울대면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대일반전형면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대제시문면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대지균면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대면접학원,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대수시면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대면접준비,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대학교면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767915,서울대지역균형면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
