motion2 post|844x390|N4|gap420 [["R",2,"0,1,2,-1>-1,0,1,2",0,"0/27",null],["R",3,"-1,0,1,2>-2,-1,0,1",0,"0/26",null],["R",4,"-2,-1,0,1>1,-2,-1,0",46284,"10/26",[16,0,1,688,1084,"none"]],["R",1,"1,-2,-1,0>0,1,2,-1",100076,"11/26",[16,1,1,688,1084,"none"]],["R",2,"0,1,2,-1>-1,0,1,2",0,"0/26",null],["L",1,"-1,0,1,2>0,1,2,-1",46238,"10/26",[16,3,1,-240,156,"none"]],["L",4,"0,1,2,-1>1,-2,-1,0",52334,"11/26",[16,2,1,-240,156,"none"]]]
motion2 post|844x390|N6|gap600 [["R",2,"0,1,2,3,-2,-1>-1,0,1,2,3,-2",0,"0/38",null],["R",3,"-1,0,1,2,3,-2>-2,-1,0,1,2,3",0,"0/37",null],["R",4,"-2,-1,0,1,2,3>-3,-2,-1,0,1,2",0,"0/37",null],["R",5,"-3,-2,-1,0,1,2>2,-3,-2,-1,0,1",0,"0/37",null],["R",6,"2,-3,-2,-1,0,1>1,2,-3,-2,-1,0",0,"0/36",null],["L",5,"1,2,-3,-2,-1,0>2,-3,-2,-1,0,1",0,"0/37",null],["L",4,"2,-3,-2,-1,0,1>-3,-2,-1,0,1,2",0,"0/37",null]]
motion2 post|844x390|N6|gap420 [["R",2,"0,1,2,3,-2,-1>-1,0,1,2,3,-2",0,"0/28",null],["R",3,"-1,0,1,2,3,-2>-2,-1,0,1,2,3",0,"0/26",null],["R",4,"-2,-1,0,1,2,3>-3,-2,-1,0,1,2",0,"0/26",null],["R",5,"-3,-2,-1,0,1,2>2,-3,-2,-1,0,1",0,"0/26",null],["R",6,"2,-3,-2,-1,0,1>1,2,-3,-2,-1,0",0,"0/26",null],["L",5,"1,2,-3,-2,-1,0>2,-3,-2,-1,0,1",0,"0/26",null],["L",4,"2,-3,-2,-1,0,1>-3,-2,-1,0,1,2",0,"0/26",null]]
motion2 pre|1440x900|N3S|gap600 [["R",2,"0,1,-1>-1,0,1",57982,"14/38",[75,2,1,677,1073,""]],["R",3,"-1,0,1>1,-1,0",61898,"14/37",[82,0,1,677,1073,""]],["R",1,"1,-1,0>0,1,-1",150505,"14/37",[83,1,1,677,1073,""]],["R",2,"0,1,-1>-1,0,1",57982,"14/37",[84,2,1,677,1073,""]],["R",3,"-1,0,1>1,-1,0",61900,"14/37",[82,0,1,678,1074,""]],["L",2,"1,-1,0>-1,0,1",150692,"14/37",[82,0,1,367,763,""]],["L",1,"-1,0,1>0,1,-1",57982,"14/37",[83,2,1,366,762,""]]]
motion2 pre|1440x900|N3S|gap420 [["R",2,"0,1,-1>-1,0,1",57982,"14/27",[81,2,1,677,1073,""]],["R",3,"-1,0,1>1,-1,0",61906,"14/26",[83,0,1,678,1074,""]],["R",1,"1,-1,0>0,1,-1",150521,"14/26",[83,1,1,678,1074,""]],["R",2,"0,1,-1>-1,0,1",57991,"14/26",[82,2,1,678,1074,""]],["R",3,"-1,0,1>1,-1,0",61903,"14/26",[82,0,1,678,1074,""]],["L",2,"1,-1,0>-1,0,1",150696,"14/26",[83,0,1,366,762,""]],["L",1,"-1,0,1>0,1,-1",57991,"14/26",[82,2,1,367,763,""]]]
motion2 pre|1440x900|N4|gap600 [["R",2,"0,1,1,-1>-1,0,1,1",44747,"3/38",[68,3,1,831,1227,""]],["R",3,"-1,0,1,1>-1,-1,0,1",0,"0/37",null],["R",4,"-1,-1,0,1>1,-1,-1,0",62373,"15/37",[99,0,1,626,1022,""]],["R",1,"1,-1,-1,0>0,1,1,-1",151051,"16/37",[100,1,1,626,1022,""]],["R",2,"0,1,1,-1>-1,0,1,1",44751,"3/37",[66,3,1,831,1227,""]],["L",1,"-1,0,1,1>0,1,1,-1",57982,"15/37",[98,3,1,417,813,""]],["L",4,"0,1,1,-1>1,-1,-1,0",62374,"16/37",[99,2,1,418,814,""]]]
motion2 pre|1440x900|N4|gap420 [["R",2,"0,1,1,-1>-1,0,1,1",44596,"3/27",[60,3,1,832,1228,""]],["R",3,"-1,0,1,1>-1,-1,0,1",0,"0/26",null],["R",4,"-1,-1,0,1>1,-1,-1,0",62375,"15/26",[98,0,1,627,1023,""]],["R",1,"1,-1,-1,0>0,1,1,-1",151051,"16/26",[99,1,1,627,1023,""]],["R",2,"0,1,1,-1>-1,0,1,1",44583,"3/26",[66,3,1,831,1227,""]],["L",1,"-1,0,1,1>0,1,1,-1",57982,"15/26",[100,3,1,417,813,""]],["L",4,"0,1,1,-1>1,-1,-1,0",62375,"16/26",[98,2,1,417,813,""]]]
motion2 pre|1440x900|N6|gap600 [["R",2,"0,1,1,1,-1,-1>-1,0,1,1,1,-1",42480,"2/38",[56,4,1,882,1278,""]],["R",3,"-1,0,1,1,1,-1>-1,-1,0,1,1,1",37078,"2/37",[66,5,1,883,1279,""]],["R",4,"-1,-1,0,1,1,1>-1,-1,-1,0,1,1",0,"0/37",null],["R",5,"-1,-1,-1,0,1,1>1,-1,-1,-1,0,1",70611,"4/37",[83,0,1,679,1075,""]],["R",6,"1,-1,-1,-1,0,1>1,1,-1,-1,-1,0",61900,"4/37",[82,1,1,679,1075,""]],["L",5,"1,1,-1,-1,-1,0>1,-1,-1,-1,0,1",44505,"2/37",[65,1,1,160,556,""]],["L",4,"1,-1,-1,-1,0,1>-1,-1,-1,0,1,1",39159,"2/36",[66,0,1,161,557,""]]]
motion2 pre|1440x900|N6|gap420 [["R",2,"0,1,1,1,-1,-1>-1,0,1,1,1,-1",42330,"2/27",[54,4,1,883,1279,""]],["R",3,"-1,0,1,1,1,-1>-1,-1,0,1,1,1",37364,"2/26",[66,5,1,882,1278,""]],["R",4,"-1,-1,0,1,1,1>-1,-1,-1,0,1,1",0,"0/26",null],["R",5,"-1,-1,-1,0,1,1>1,-1,-1,-1,0,1",70611,"4/26",[81,0,1,680,1076,""]],["R",6,"1,-1,-1,-1,0,1>1,1,-1,-1,-1,0",61901,"4/26",[82,1,1,680,1076,""]],["L",5,"1,1,-1,-1,-1,0>1,-1,-1,-1,0,1",44122,"2/26",[64,1,1,158,554,""]],["L",4,"1,-1,-1,-1,0,1>-1,-1,-1,0,1,1",39080,"2/26",[66,0,1,160,556,""]]]
motion2 pre|601x800|N3S|gap600 [["R",2,"0,1,-1>-1,0,1",53995,"14/38",[75,2,1,258,654,""]],["R",3,"-1,0,1>1,-1,0",57616,"14/37",[83,0,1,258,654,""]],["R",1,"1,-1,0>0,1,-1",132715,"14/37",[83,1,1,258,654,""]],["R",2,"0,1,-1>-1,0,1",53995,"14/36",[83,2,1,258,654,""]],["R",3,"-1,0,1>1,-1,0",57618,"14/37",[83,0,1,258,654,""]],["L",2,"1,-1,0>-1,0,1",132901,"14/37",[84,0,1,-52,344,""]],["L",1,"-1,0,1>0,1,-1",53995,"14/36",[83,2,1,-53,343,""]]]
